From	To
SNORD115-17	100033800
SNORD115-17	100033445
SNORD115-17	100033801
SNORD115-17	100033446
SNORD115-17	100033802
SNORD115-17	100033822
SNORD115-17	100033460
SNORD115-17	100033799
FER	2241
SNORD115-19	100033458
SNORD115-19	100033437
SNORD115-19	100033816
SNORD115-19	100033817
SNORD115-19	100033453
SNORD115-19	100033814
SNORD115-19	100033450
SNORD115-19	100036567
SNORD115-19	100033815
SNORD115-19	100033451
SNORD115-19	100036566
SNORD115-19	100033812
SNORD115-19	100033456
SNORD115-19	100036565
SNORD115-19	100033813
SNORD115-19	100036564
SNORD115-19	100033810
SNORD115-19	100033454
SNORD115-19	100036563
SNORD115-19	100033811
SNORD115-19	100033455
SNORD115-19	100033809
SNORD115-19	100033808
SNORD115-19	100033807
SNORD115-19	338433
SNORD115-19	100033447
SNORD115-19	100033448
SNORD115-19	100033449
SNORD115-19	347745
SNORD115-19	100033603
SNORD115-19	100033803
SNORD115-19	100033804
SNORD115-19	100033440
SNORD115-19	100033818
SNORD115-19	100033805
SNORD115-19	100033441
SNORD115-19	100033806
SNORD115-19	100033442
SNORD115-19	100033443
SNORD115-19	100033444
SNORD115-19	100033800
SNORD115-19	100033445
SNORD115-19	100033801
SNORD115-19	100033446
SNORD115-19	100033802
SNORD115-19	100033822
SNORD115-19	100033460
SNORD115-19	100033799
FES	2242
SNORD115-14	100033458
SNORD115-14	100033437
SNORD115-14	100033816
SNORD115-14	100033817
SNORD115-14	100033453
SNORD115-14	100033814
SNORD115-14	100033450
SNORD115-14	100036567
SNORD115-14	100033815
SNORD115-14	100033451
SNORD115-14	100036566
SNORD115-14	100033812
SNORD115-14	100033456
SNORD115-14	100036565
SNORD115-14	100033813
SNORD115-14	100036564
SNORD115-14	100033810
SNORD115-14	100033454
SNORD115-14	100036563
SNORD115-14	100033811
SNORD115-14	100033455
SNORD115-14	100033809
SNORD115-14	100033808
SNORD115-14	100033807
SNORD115-14	338433
SNORD115-14	100033447
SNORD115-14	100033448
SNORD115-14	100033449
SNORD115-14	347745
SNORD115-14	100033603
SNORD115-14	100033803
SNORD115-14	100033804
SNORD115-14	100033440
SNORD115-14	100033818
SNORD115-14	100033805
SNORD115-14	100033441
SNORD115-14	100033806
SNORD115-14	100033442
SNORD115-14	100033443
SNORD115-14	100033444
SNORD115-14	100033800
SNORD115-14	100033445
SNORD115-14	100033801
SNORD115-14	100033446
SNORD115-14	100033802
SNORD115-14	100033822
SNORD115-14	100033460
SNORD115-14	100033799
SNORD115-13	100033458
SNORD115-13	100033437
SNORD115-13	100033816
SNORD115-13	100033817
SNORD115-13	100033453
SNORD115-13	100033814
SNORD115-13	100033450
SNORD115-13	100036567
SNORD115-13	100033815
SNORD115-13	100033451
SNORD115-13	100036566
SNORD115-13	100033812
SNORD115-13	100033456
SNORD115-13	100036565
SNORD115-13	100033813
SNORD115-13	100036564
SNORD115-13	100033810
SNORD115-13	100033454
SNORD115-13	100036563
SNORD115-13	100033811
SNORD115-13	100033455
SNORD115-13	100033809
SNORD115-13	100033808
SNORD115-13	100033807
SNORD115-13	338433
SNORD115-13	100033447
SNORD115-13	100033448
SNORD115-13	100033449
SNORD115-13	347745
SNORD115-13	100033603
SNORD115-13	100033803
SNORD115-13	100033804
SNORD115-13	100033440
SNORD115-13	100033818
SNORD115-13	100033805
SNORD115-13	100033441
SNORD115-13	100033806
SNORD115-13	100033442
SNORD115-13	100033443
SNORD115-13	100033444
SNORD115-13	100033800
SNORD115-13	100033445
SNORD115-13	100033801
SNORD115-13	100033446
SNORD115-13	100033802
SNORD115-13	100033822
SNORD115-13	100033460
SNORD115-13	100033799
SNORD115-16	100033458
SNORD115-16	100033437
SNORD115-16	100033816
SNORD115-16	100033817
SNORD115-16	100033453
SNORD115-16	100033814
SNORD115-16	100033450
SNORD115-16	100036567
SNORD115-16	100033815
SNORD115-16	100033451
SNORD115-16	100036566
SNORD115-16	100033812
SNORD115-16	100033456
SNORD115-16	100036565
SNORD115-16	100033813
SNORD115-16	100036564
SNORD115-16	100033810
SNORD115-16	100033454
SNORD115-16	100036563
SNORD115-16	100033811
SNORD115-16	100033455
SNORD115-16	100033809
SNORD115-16	100033808
SNORD115-16	100033807
SNORD115-16	338433
SNORD115-16	100033447
SNORD115-16	100033448
SNORD115-16	100033449
SNORD115-16	347745
SNORD115-16	100033603
SNORD115-16	100033803
SNORD115-16	100033804
SNORD115-16	100033440
SNORD115-16	100033818
SNORD115-16	100033805
SNORD115-16	100033441
SNORD115-16	100033806
SNORD115-16	100033442
SNORD115-16	100033443
SNORD115-16	100033444
SNORD115-16	100033800
SNORD115-16	100033445
SNORD115-16	100033801
SNORD115-16	100033446
SNORD115-16	100033802
SNORD115-16	100033822
SNORD115-16	100033460
SNORD115-16	100033799
FEV	54738
SNORD115-15	100033458
SNORD115-15	100033437
SNORD115-15	100033816
SNORD115-15	100033817
SNORD115-15	100033453
SNORD115-15	100033814
SNORD115-15	100033450
SNORD115-15	100036567
SNORD115-15	100033815
SNORD115-15	100033451
SNORD115-15	100036566
SNORD115-15	100033812
SNORD115-15	100033456
SNORD115-15	100036565
SNORD115-15	100033813
SNORD115-15	100036564
SNORD115-15	100033810
SNORD115-15	100033454
SNORD115-15	100036563
SNORD115-15	100033811
SNORD115-15	100033455
SNORD115-15	100033809
SNORD115-15	100033808
SNORD115-15	100033807
SNORD115-15	338433
SNORD115-15	100033447
SNORD115-15	100033448
SNORD115-15	100033449
SNORD115-15	347745
SNORD115-15	100033603
SNORD115-15	100033803
SNORD115-15	100033804
SNORD115-15	100033440
SNORD115-15	100033818
SNORD115-15	100033805
SNORD115-15	100033441
SNORD115-15	100033806
SNORD115-15	100033442
SNORD115-15	100033443
SNORD115-15	100033444
SNORD115-15	100033800
SNORD115-15	100033445
SNORD115-15	100033801
SNORD115-15	100033446
SNORD115-15	100033802
SNORD115-15	100033822
SNORD115-15	100033460
SNORD115-15	100033799
SNORD115-20	100033458
SNORD115-20	100033437
SNORD115-20	100033816
SNORD115-20	100033817
SNORD115-20	100033453
SNORD115-20	100033814
SNORD115-20	100033450
SNORD115-20	100036567
SNORD115-20	100033815
SNORD115-20	100033451
SNORD115-20	100036566
SNORD115-20	100033812
SNORD115-20	100033456
SNORD115-20	100036565
SNORD115-20	100033813
SNORD115-20	100036564
SNORD115-20	100033810
SNORD115-20	100033454
SNORD115-20	100036563
SNORD115-20	100033811
SNORD115-20	100033455
SNORD115-20	100033809
SNORD115-20	100033808
SNORD115-20	100033807
SNORD115-20	338433
SNORD115-20	100033447
SNORD115-20	100033448
SNORD115-20	100033449
SNORD115-20	347745
SNORD115-20	100033603
SNORD115-20	100033803
SNORD115-20	100033804
SNORD115-20	100033440
SNORD115-20	100033818
SNORD115-20	100033805
SNORD115-20	100033441
SNORD115-20	100033806
SNORD115-20	100033442
SNORD115-20	100033443
SNORD115-20	100033444
SNORD115-20	100033800
SNORD115-20	100033445
SNORD115-20	100033801
SNORD115-20	100033446
SNORD115-20	100033802
SNORD115-20	100033822
SNORD115-20	100033460
SNORD115-20	100033799
SNORD115-21	100033458
SNORD115-21	100033437
SNORD115-21	100033816
SNORD115-21	100033817
SNORD115-21	100033453
SNORD115-21	100033814
SNORD115-21	100033450
SNORD115-21	100036567
SNORD115-21	100033815
SNORD115-21	100033451
SNORD115-21	100036566
SNORD115-21	100033812
SNORD115-21	100033456
SNORD115-21	100036565
SNORD115-21	100033813
SNORD115-21	100036564
SNORD115-21	100033810
SNORD115-21	100033454
SNORD115-21	100036563
SNORD115-21	100033811
SNORD115-21	100033455
SNORD115-21	100033809
SNORD115-21	100033808
SNORD115-21	100033807
SNORD115-21	338433
SNORD115-21	100033447
SNORD115-21	100033448
SNORD115-21	100033449
SNORD115-21	347745
SNORD115-21	100033603
SNORD115-21	100033803
SNORD115-21	100033804
SNORD115-21	100033440
SNORD115-21	100033818
SNORD115-21	100033805
SNORD115-21	100033441
SNORD115-21	100033806
SNORD115-21	100033442
SNORD115-21	100033443
SNORD115-21	100033444
SNORD115-21	100033800
SNORD115-21	100033445
SNORD115-21	100033801
SNORD115-21	100033446
SNORD115-21	100033802
SNORD115-21	100033822
SNORD115-21	100033460
SNORD115-21	100033799
SNORD115-22	100033458
SNORD115-22	100033437
SNORD115-22	100033816
SNORD115-22	100033817
SNORD115-22	100033453
SNORD115-22	100033814
SNORD115-22	100033450
SNORD115-22	100036567
SNORD115-22	100033815
SNORD115-22	100033451
SNORD115-22	100036566
SNORD115-22	100033812
SNORD115-22	100033456
SNORD115-22	100036565
SNORD115-22	100033813
SNORD115-22	100036564
SNORD115-22	100033810
SNORD115-22	100033454
SNORD115-22	100036563
SNORD115-22	100033811
SNORD115-22	100033455
SNORD115-22	100033809
SNORD115-22	100033808
SNORD115-22	100033807
SNORD115-22	338433
SNORD115-22	100033447
SNORD115-22	100033448
SNORD115-22	100033449
SNORD115-22	347745
SNORD115-22	100033603
SNORD115-22	100033803
SNORD115-22	100033804
SNORD115-22	100033440
SNORD115-22	100033818
SNORD115-22	100033805
SNORD115-22	100033441
SNORD115-22	100033806
SNORD115-22	100033442
SNORD115-22	100033443
SNORD115-22	100033444
SNORD115-22	100033800
SNORD115-22	100033445
SNORD115-22	100033801
SNORD115-22	100033446
SNORD115-22	100033802
SNORD115-22	100033822
SNORD115-22	100033460
SNORD115-22	100033799
SNORD115-23	100033458
SNORD115-23	100033437
SNORD115-23	100033816
SNORD115-23	100033817
SNORD115-23	100033453
SNORD115-23	100033814
SNORD115-23	100033450
SNORD115-23	100036567
SNORD115-23	100033815
SNORD115-23	100033451
SNORD115-23	100036566
SNORD115-23	100033812
SNORD115-23	100033456
SNORD115-23	100036565
SNORD115-23	100033813
SNORD115-23	100036564
SNORD115-23	100033810
SNORD115-23	100033454
SNORD115-23	100036563
SNORD115-23	100033811
SNORD115-23	100033455
SNORD115-23	100033809
SNORD115-23	100033808
SNORD115-23	100033807
SNORD115-23	338433
SNORD115-23	100033447
SNORD115-23	100033448
SNORD115-23	100033449
SNORD115-23	347745
SNORD115-23	100033603
SNORD115-23	100033803
SNORD115-23	100033804
SNORD115-23	100033440
SNORD115-23	100033818
SNORD115-23	100033805
SNORD115-23	100033441
SNORD115-23	100033806
SNORD115-23	100033442
SNORD115-23	100033443
SNORD115-23	100033444
SNORD115-23	100033800
SNORD115-23	100033445
SNORD115-23	100033801
SNORD115-23	100033446
SNORD115-23	100033802
SNORD115-23	100033822
SNORD115-23	100033460
SNORD115-23	100033799
GTF2A1	2957
TCERG1L	256536
DDX60	55601
GTF2A2	2958
HCP5	10866
OIT3	170392
LOXL4	84171
LOXL3	84695
LOXL2	4017
SEC24C	9632
LOXL1	4016
SEC24D	9871
RBPJL	11317
SEC23A	10484
NOS1AP	9722
SARS	6301
MS4A6E	245802
LOC643072	643072
C14orf79	122616
SNORD115-11	100033458
SNORD115-11	100033437
SNORD115-11	100033816
SNORD115-11	100033817
SNORD115-11	100033453
SNORD115-11	100033814
SNORD115-11	100033450
SNORD115-11	100036567
SNORD115-11	100033815
SNORD115-11	100033451
SNORD115-11	100036566
SNORD115-11	100033812
SNORD115-11	100033456
SNORD115-11	100036565
SNORD115-11	100033813
SNORD115-11	100036564
SNORD115-11	100033810
SNORD115-11	100033454
SNORD115-11	100036563
SNORD115-11	100033811
SNORD115-11	100033455
SNORD115-11	100033809
SNORD115-11	100033808
SNORD115-11	100033807
SNORD115-11	338433
SNORD115-11	100033447
SNORD115-11	100033448
SNORD115-11	100033449
SNORD115-11	347745
SNORD115-11	100033603
SNORD115-11	100033803
SNORD115-11	100033804
SNORD115-11	100033440
SNORD115-11	100033818
SNORD115-11	100033805
SNORD115-11	100033441
SNORD115-11	100033806
SNORD115-11	100033442
SNORD115-11	100033443
SNORD115-11	100033444
SNORD115-11	100033800
SNORD115-11	100033445
SNORD115-11	100033801
SNORD115-11	100033446
SNORD115-11	100033802
SNORD115-11	100033822
SNORD115-11	100033460
SNORD115-11	100033799
SNORD115-12	100033458
SNORD115-12	100033437
SNORD115-12	100033816
SNORD115-12	100033817
SNORD115-12	100033453
SNORD115-12	100033814
SNORD115-12	100033450
SNORD115-12	100036567
SNORD115-12	100033815
SNORD115-12	100033451
SNORD115-12	100036566
SNORD115-12	100033812
SNORD115-12	100033456
SNORD115-12	100036565
SNORD115-12	100033813
SNORD115-12	100036564
SNORD115-12	100033810
SNORD115-12	100033454
SNORD115-12	100036563
SNORD115-12	100033811
SNORD115-12	100033455
SNORD115-12	100033809
SNORD115-12	100033808
SNORD115-12	100033807
SNORD115-12	338433
SNORD115-12	100033447
SNORD115-12	100033448
SNORD115-12	100033449
SNORD115-12	347745
SNORD115-12	100033603
SNORD115-12	100033803
SNORD115-12	100033804
SNORD115-12	100033440
SNORD115-12	100033818
SNORD115-12	100033805
SNORD115-12	100033441
SNORD115-12	100033806
SNORD115-12	100033442
SNORD115-12	100033443
SNORD115-12	100033444
SNORD115-12	100033800
SNORD115-12	100033445
SNORD115-12	100033801
SNORD115-12	100033446
SNORD115-12	100033802
SNORD115-12	100033822
SNORD115-12	100033460
SNORD115-12	100033799
TRNAU1AP	54952
SNORD115-10	100033458
SNORD115-10	100033437
SNORD115-10	100033816
SNORD115-10	100033817
SNORD115-10	100033453
SNORD115-10	100033814
SNORD115-10	100033450
SNORD115-10	100036567
SNORD115-10	100033815
SNORD115-10	100033451
SNORD115-10	100036566
SNORD115-10	100033812
SNORD115-10	100033456
SNORD115-10	100036565
SNORD115-10	100033813
SNORD115-10	100036564
SNORD115-10	100033810
SNORD115-10	100033454
SNORD115-10	100036563
SNORD115-10	100033811
SNORD115-10	100033455
SNORD115-10	100033809
SNORD115-10	100033808
SNORD115-10	100033807
SNORD115-10	338433
SNORD115-10	100033447
SNORD115-10	100033448
SNORD115-10	100033449
SNORD115-10	347745
SNORD115-10	100033603
SNORD115-10	100033803
SNORD115-10	100033804
SNORD115-10	100033440
SNORD115-10	100033818
SNORD115-10	100033805
SNORD115-10	100033441
SNORD115-10	100033806
SNORD115-10	100033442
SNORD115-10	100033443
SNORD115-10	100033444
SNORD115-10	100033800
SNORD115-10	100033445
SNORD115-10	100033801
SNORD115-10	100033446
SNORD115-10	100033802
SNORD115-10	100033822
SNORD115-10	100033460
SNORD115-10	100033799
KRTAP25-1	100131902
RANGRF	29098
SEC23B	10483
XYLB	9942
HCRT	3060
PUSL1	126789
SAV1	60485
ASNS	440
SMUG1	23583
VCAM1	7412
C21orf128	150147
SEC22A	26984
PNPO	55163
SEC22B	9554
FBN3	84467
SEC22C	9117
FBN2	2201
MS4A6A	64231
TERF2	7014
TERF1	646359
TERF1	646127
TERF1	283523
TERF1	7013
TERF1	646316
MS4A4A	51338
MORN5	254956
SLC2A9	56606
MORN4	118812
MORN3	283385
C14orf93	60686
MORN2	729967
MORN1	79906
PNO1	56902
FBN1	2200
FBL	2091
CLPTM1	1209
SCFD1	23256
OR4X1	390113
OR4X2	119764
PNOC	5368
SCFD2	152579
C21orf119	84996
DMBT1	1755
LOC149684	149684
DKFZP586I1420	222161
SEC31B	25956
SEC31A	22872
OR5C1	392391
U2AF2	11338
GCAT	23464
ZNRF4	148066
POSTN	10631
ZNRF1	84937
ZNRF3	84133
ZNRF2	223082
HTRA2	27429
HTRA1	5654
U2AF1	7307
GXYLT2	727936
GXYLT1	283464
HTRA4	203100
HTRA3	94031
F11	2160
CLNS1A	1207
POLL	27343
POLK	51426
F12	2161
F10	2159
POLI	11201
DUOXA2	405753
POLH	5429
POLG	5428
DUOXA1	90527
POLE	5426
C4orf6	10141
SPATC1	375686
POLB	5423
C4orf3	401152
GCC2	9648
GCC1	79571
VSIG2	23584
MAD2L1	4085
VSIG8	284677
VSIG8	391123
MAD2L2	10459
MTFMT	123263
LOC646471	646471
TADA3	10474
ELL	8178
ELN	2006
ASZ1	136991
TADA1	117143
ZNRD1	30834
POMC	5443
TAGLN2	8407
TAGLN3	29114
UHMK1	127933
RALGAPA1P	26134
C14orf105	55195
POLM	27434
POLN	353497
EMB	133418
POLQ	10721
UTP23	84294
GCDH	2639
EN1	2019
EN2	2020
ATP13A3	79572
ATP13A2	23400
ATP13A5	344905
ATP13A4	84239
ATP13A1	57130
CSRNP3	80034
CSRNP2	81566
CSRNP1	64651
PON1	5444
POMP	51371
PON2	5445
UTP20	27340
UTP20	653877
ENG	2022
PON3	5446
ANKRD36BP1	84832
C14orf119	55017
UTP18	51096
UTP15	84135
MTFR1	9650
FAR1	84188
FAR2	55711
CTAGE5	4253
CTAGE5	220429
CTAGE5	643854
CTAGE5	100128553
BLZF1	8548
CTAGE1	64693
CTAGE6	340307
CTAGE9	4253
CTAGE9	220429
CTAGE9	643854
CTAGE9	100128553
ASTL	431705
POGZ	23126
RPS16P5	647190
POGK	57645
IL20RB	53833
IL20RA	53832
C14orf132	56967
EHF	26298
OR5A1	219982
OR5A2	219981
GCH1	2643
PLCL2	23228
PLCL1	5334
SPATA9	83890
FAT3	120114
FAT4	79633
FAT1	2195
FAT2	2196
FASN	2194
SPATA2	9825
C14orf142	84520
SPATA4	132851
SPATA3	130560
SPATA6	54558
SPATA5	166378
SPATA8	145946
SPATA7	55812
SERGEF	26297
LOC392364	100132229
LOC392364	100128610
LOC392364	392364
TECPR2	9895
TECPR1	25851
OR5B2	390190
IWS1	55677
OR5B3	441608
GAPDHS	26330
C14orf159	80017
HYDIN	54768
HYDIN	790898
GRPEL2	134266
GRPEL1	80273
OR5L1	219437
OR5L2	26338
TSSC4	10078
MCM10	55388
TSSC1	7260
IL31RA	133396
SRRM4	84530
CASP8AP2	9994
SRRM5	100170229
SRRM2	23524
SRRM2	100132779
SRRM3	222183
SRRM1	10250
POC5	134359
A3GALT2	127550
UCMA	221044
OR5M1	390168
PROKR2	128674
OR5M3	219482
PROKR1	10887
NR0B2	8431
KIAA0754	643314
SPOCD1	90853
OR5M9	390162
KIAA0753	9851
OR5M8	219484
UCN3	114131
PLCE1	51196
UCN2	90226
MIR941-1	100126352
MIR941-1	100126329
MIR941-1	100126339
MIR941-2	100126352
MIR941-2	100126329
MIR941-2	100126339
LYST	1130
MIR941-3	100126352
MIR941-3	100126329
MIR941-3	100126339
MIR941-4	100126330
CD300LG	146894
CD300LF	146722
CD300LB	124599
CD300LD	100131439
CGNL1	84952
PODN	127435
GCLC	2729
HDGF	3068
TRRAP	8295
GCLM	2730
GCKR	2646
SBK1	388228
PLCH2	9651
SBK2	646643
PLCH1	23007
EVC	2121
SYCE2	256126
SYCE1	93426
INTS12	57117
EVL	51466
HEATR1	55127
UCP1	7350
INTS10	55174
ATE1	11101
HEATR6	63897
GCM2	9247
LEPRE1	64175
GCM1	8521
HEATR2	54919
UCP3	7352
PLCG1	5335
UCP2	7351
HEATR3	55027
HEATR4	399671
PLCG2	5336
OR5H1	26341
TACR3	6870
OR5H2	79310
TACR2	6865
TACR1	6869
ESD	2098
C21orf2	755
ACVR1C	130399
ACVR1B	91
PLCB3	5331
SBDS	51119
SBDS	155370
PLCB4	5332
RSPRY1	89970
NECAP2	55707
MGLL	11343
NECAP1	25977
PLCB1	23236
PLCB2	5330
OR5I1	10798
IFNAR1	3454
IFNAR2	3455
ACVR2A	92
ACVR2B	93
SBF1	100133234
SBF1	6305
SBF2	81846
TNNI3K	51086
TNNI3K	8790
OR5H6	79295
SPOCK3	50859
SPOCK2	9806
OR5J2	282775
MGMT	4255
GON4L	54856
GON4L	55249
SPOCK1	6695
EPX	8288
THYN1	29087
PLCD3	113026
PLCD4	84812
UCK1	83549
PLCD1	5333
UCK2	7371
EPO	2056
ERF	2077
ERG	2078
ERH	2079
OR5K4	403278
OR5K3	403277
OR5K2	402135
OR5K1	26339
ADNP2	22850
GMCL1	64396
GMCL1	64395
TSSK2	23617
TSSK4	283629
TSSK3	81629
TSSK6	83983
RETSAT	54884
F2R	2149
ZNF781	163115
ZNF782	158431
OGN	4969
ZNF778	197320
ZNF777	27153
ZNF776	284309
ZNF775	285971
ZNF774	342132
ZNF773	374928
ZNF772	400720
QRFP	347148
ZNF790	388536
UBE2J1	51465
EOMES	8320
ZNF791	163049
ZNF792	126375
UBE2J2	118424
ZNF793	390927
ZNF788	388507
ZNF787	126208
ZNF789	285989
EIF2AK1	27102
ZNF784	147808
ZNF783	155060
ZNF786	136051
ZNF785	146542
ZNF785	146540
EIF2AK2	5610
EIF2AK3	9451
EIF2AK4	440275
IGFBPL1	347252
GSTCD	79807
XAB2	56949
ZNF799	90576
PXT1	222659
ESRRA	2101
BRI3BP	140707
TAOK2	9344
ESRRB	2103
TAOK1	57551
PAIP2	51247
PAIP1	10605
PAIP1	645139
TAOK3	51347
ESRRG	2104
UBE2L6	9246
KIR2DS4	3809
KIR2DS4	100132285
UBE2L3	7332
EIF4E1B	253314
LOC388849	388849
KIAA1377	57562
MIR519A2	574500
ZNFX1	57169
UBE2G1	7326
UBE2G2	7327
MIR519A1	574496
KISS1	3814
ZNF738	148203
ZNF736	728927
ZNF737	100129842
ZNF735	168417
ZNF735	730291
ZNF732	654254
ZNF730	100129543
PRTFDC1	56952
OR4A47	403253
OR4A47	390134
GLCCI1	113263
CBWD2	150472
CBWD3	653510
CBWD3	728013
CBWD3	445571
CBWD3	220869
EIF4A3	9775
MYRIP	25924
CBWD1	55871
CBWD1	644019
ZNF747	65988
EIF4A2	1974
EIF4A2	286512
ZNF749	388567
EIF4A1	1973
EIF4A1	26781
EIF4A1	728698
ESRP1	54845
ZNF746	155061
ESRP2	80004
THEM4	117145
CBWD6	55871
CBWD6	644019
ZNF740	283337
THEM5	284486
SMR3A	26952
SMR3B	10879
CBWD5	653510
CBWD5	728013
CBWD5	445571
CBWD5	220869
MEGF8	1954
MEGF9	1955
NNAT	4826
ZNF75A	7627
LOC200772	200772
MTMR2	8898
MTMR3	8897
ZNF750	79755
MTMR9	66036
LYPLAL1	127018
MTMR6	9107
MTMR7	9108
MTMR4	9110
SSRP1	6749
ZNF771	51333
ZNF770	54989
IGF1	3479
IGF2	3481
IGF2	723961
IGF2	3630
TIFAB	497189
TIFAB	140947
WHSC1L1	54904
ZNF761	388561
ZNF763	284390
ZNF764	92595
PSAT1	29968
PSAT1	137133
ZNF765	91661
MEGF6	1953
ZNF766	90321
ZNF768	79724
NCBP2	22916
NCBP1	4686
SRCIN1	100132856
SRCIN1	100128100
SRCIN1	80725
SRCIN1	100133017
ATOX1	475
KIAA1324	57535
KIAA1328	57536
EIF4EBP3	54882
EIF4EBP3	404734
EIF4EBP3	8637
KRTAP12-1	353332
EIF4EBP1	1978
KRTAP12-3	386683
EIF4EBP2	1979
CDKN2A	1029
KRTAP12-2	353323
CDKN2B	1030
MDFIC	29969
KRTAP12-4	386684
CDKN2C	1031
CDKN2D	1032
FBXO27	126433
FBXO28	23219
FBXO25	26260
FBXO24	26261
FBXO21	23014
FBXO22	692224
FBXO22	26263
DYX1C1	161582
PPDPF	79144
MRTO4	51154
LOC389641	389641
MIR129-1	406917
HIF1A	3091
MIR129-2	406918
FBXO16	157574
FBXO17	115290
ATP9B	374868
ATP9A	10079
FBXO18	84893
EDF1	8721
FBXO15	201456
FBXO10	26267
FBXO11	80204
ACTBL2	345651
MAMDC4	158056
ADAMTSL1	92949
MAMDC2	256691
ADAMTSL2	9719
ADAMTSL2	653348
FBXO40	51725
ADAMTSL3	57188
ADAMTSL4	54507
SETD1B	23067
ADAMTSL5	339366
SETD1A	9739
UBE2V1	7335
UBE2V1	730052
UBE2V1	387521
UBE2V1	387522
UBE2V2	7336
LOC653486	653486
G6PC3	92579
G6PC2	57818
FICD	11153
TMEM30C	644444
FBXO43	286151
TMEM30B	161291
FBXO44	93611
FBXO41	150726
FBXO42	54455
FBXO47	494188
FBXO48	554251
TMEM30A	55754
FBXO45	200933
FBXO46	23403
FIBP	9158
SNORD32B	26819
SNORD32B	692092
SNORD32B	26818
SNORD32A	26819
SNORD32A	692092
SNORD32A	26818
MMAB	326625
MMAA	166785
ELSPBP1	64100
CDKN1C	1028
FBXO38	81545
NMT2	9397
NMT1	4836
FBXO39	162517
PDZD7	79955
CDKN1A	1026
PDZD8	118987
PDZD9	255762
CDKN1B	1027
FBXO30	84085
FBXO31	79791
FBXO32	114907
FBXO33	254170
FBXO34	55030
PDZD2	23037
PDZD3	79849
FBXO36	130888
ATP7B	540
RSF1	51773
OCM	654231
PREX1	57580
PREX2	80243
EDC4	23644
HTN3	3347
CYP3A43	64816
L1TD1	54596
CCHCR1	54535
HTN1	3346
EDC3	80153
PIWIL1	9271
PIWIL2	55124
PIWIL2	80270
PIWIL3	440822
PIWIL4	143689
INO80E	283899
INO80D	54891
INO80C	125476
INO80B	83444
TMEM38A	79041
STXBP1	6812
STXBP2	6813
STXBP3	6814
STXBP4	252983
EDAR	10913
TMEM38B	55151
TNFSF13B	10673
STXBP6	29091
STXBP5	134957
SLC41A2	84102
SLC41A3	54946
SLC41A1	254428
OAT	4942
SNX13	23161
PKDREJ	10343
SNX10	29887
SNX11	29916
SNX19	399979
SNORD35B	26816
SNORD35B	84546
SNX18	112574
SNORD35A	26816
SNORD35A	84546
SNX15	29907
SNX14	57231
SNX17	9784
SNX16	64089
OAF	220323
APLP2	334
APLP1	333
UBE2R2	54926
APLNR	187
CALML4	91860
CALML3	810
FIGN	55137
SNX21	90203
SNX22	79856
CALML6	163688
XAF1	54739
CALML5	51806
SNX24	28966
SNX20	124460
SNORD36A	26815
SNORD36A	26813
SNORD36A	26814
GSTA1	2938
SNORD36B	26815
SNORD36B	26813
SNORD36B	26814
GSTA2	2939
SECTM1	6398
SNORD36C	26815
SNORD36C	26813
SNORD36C	26814
GSTA3	2940
GSTA4	2941
SNX29	92017
GSTA5	221357
SNX27	81609
SNX25	83891
GRSF1	2926
FIG4	9896
UBE2Q2	92912
UBE2Q1	55585
HIF3A	64344
SNX32	254122
SNX33	257364
SNX30	401548
SNX31	169166
EDN3	1908
STAT5A	6776
EDN2	1907
EDN1	1906
STAT5B	6777
C4orf29	80167
SNORD38B	94163
SNORD38B	94162
SNORD38A	94163
SNORD38A	94162
NT5C2	22978
C4orf27	54969
C4orf26	152816
FIZ1	84922
CYHR1	50626
FHAD1	114827
C4orf22	255119
RPUSD4	84881
RPUSD2	27079
RPUSD3	285367
RPUSD1	113000
FAM66A	100133172
DCTN5	84516
DCTN6	10671
DCTN3	11258
DCTN4	51164
DCTN1	1639
DCTN2	10540
FAM66E	100132103
FAM66D	100132923
C4orf19	55286
FAM66C	440078
FAM66B	100128890
C4orf17	84103
FAM177A1	283635
ALDOA	226
LENEP	55891
ALDOC	230
ALDOB	229
TMEM229B	161145
CRAMP1L	57585
OTP	23440
TMEM229A	730130
PLAGL1	5325
FAM65B	9750
FAM65A	79567
FAM65C	140876
KRAS	3845
C4orf45	152940
LENG1	79165
KIAA0247	9766
C4orf47	441054
C4orf46	100129478
C4orf46	201725
C4orf48	401115
PLAGL2	152845
PLAGL2	5326
PBOV1	59351
TMCO5B	440268
TMCO5A	145942
TMEM39A	55254
TMEM39B	55116
FAM64A	54478
FLJ45513	729220
C4orf33	132321
C4orf32	132720
C4orf36	132989
NNMT	4837
ATP5D	513
ATP5E	432369
ATP5E	514
COX11	1353
PXDN	7837
LOC100272217	100272217
ZMAT5	55954
COX10	1352
ZMAT4	79698
ZMAT3	64393
ATP5B	506
ZMAT2	153527
SENP8	123228
SLC26A1	10861
SENP5	205564
SLC26A2	1836
MCF2L	23263
SENP7	57337
PMS2L2	5383
PMS2L2	730323
PMS2L2	5380
PMS2L2	100132832
SENP6	26054
OXER1	165140
PTGES	9536
GADL1	339896
ATP5S	27109
GNPAT	8443
ATP5L	10632
ATP5O	539
MMD2	221938
COX19	90639
ATP5I	521
COX18	285521
ATP5H	10476
COX17	10063
COX16	51241
COX15	1355
ATP5J	522
LIN52	91750
